TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.30.1140.40	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
3.10.350.10	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
1.10.10.440	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
1.10.287.660	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
1.10.10.790	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
2.160.20.10	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
3.90.740.10	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
2.140.10.30	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
2.170.240.10	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
1.20.58.160	-	0.999999999988674	-1.13261773592102e-11	6	0	0	253	8522
2.40.100.10	-	0.999999999990546	-9.45369792389964e-12	22	0	0	253	8522
3.30.1490.20	-	0.999999999990546	-9.45369792389964e-12	22	0	0	253	8522
3.90.1580.10	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
4.10.1170.10	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
3.30.720.10	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.10.1060.10	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.20.1300.10	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
3.30.43.10	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
2.40.10.230	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.10.3970.10	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.20.58.150	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
2.10.110.40	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.10.10.540	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
2.30.170.20	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.20.1250.70	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.10.10.490	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
3.20.190.10	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.10.1100.10	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.25.40.330	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
3.30.70.380	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
2.130.10.110	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
2.60.40.1490	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.10.10.520	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.20.1440.130	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.10.760.10	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.20.120.140	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.10.10.1540	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
3.40.50.10050	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.10.287.20	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
3.90.1720.30	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
1.10.3040.10	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
3.40.30.50	-	0.999999999994308	-5.69152450863308e-12	2	0	0	253	8522
